customer_id,segment,age,income,location,join_date,base_purchase_prob,price_sensitivity,promotion_response,churn_rate,quantum_entanglement,network_influence,temporal_volatility,quantum_purchase_impulse,quantum_loyalty,influence_score,susceptibility,age_group,income_group,quantum_complexity,behavioral_entropy
0,premium,41.48769937914996,32303.521289692086,rural,2024-03-17 01:57:29.040920,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2217302789017885,0.4903872304314554,adult,medium,0.14400000000000004,0.0036
1,premium,38.57930903735648,25054.195598250386,rural,2024-12-11 01:57:29.050544,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3813189878098385,0.6658890406735815,adult,low,0.14400000000000004,0.0036
2,premium,56.68788951772507,20940.72531972915,urban,2023-05-05 01:57:29.058068,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5434668040445325,0.25599106174489944,senior,low,0.14400000000000004,0.0036
3,premium,43.265275764176394,31239.798448034304,urban,2024-07-16 01:57:29.065530,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5448769882238162,0.6739343239463539,adult,medium,0.14400000000000004,0.0036
4,premium,24.498267916705533,51493.977064332394,suburban,2025-05-09 01:57:29.073538,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3059372521939286,0.49415989693622053,young,medium,0.14400000000000004,0.0036
5,premium,63.50245206814586,45885.17580313755,rural,2023-05-14 01:57:29.079086,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.39243518090800567,0.1246455443364199,senior,medium,0.14400000000000004,0.0036
6,premium,29.62363666783703,38866.07008764933,rural,2025-03-25 01:57:29.087108,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5443410157464429,0.6829885404768593,young_adult,medium,0.14400000000000004,0.0036
7,premium,24.018886775912133,55545.65654663296,urban,2023-09-30 01:57:29.094271,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.13739344268961412,0.6064559215504729,young,medium,0.14400000000000004,0.0036
8,premium,58.72326482889018,36035.44549032642,suburban,2023-04-04 01:57:29.103297,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3756273384814727,0.43888148202625765,senior,medium,0.14400000000000004,0.0036
9,premium,45.05905956647104,64306.205058524785,rural,2024-05-14 01:57:29.109309,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2525336754963824,0.41736717511968113,adult,high,0.14400000000000004,0.0036
10,premium,36.50553405595842,50238.822648060566,urban,2022-12-03 01:57:29.117332,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.06317487262207847,0.4791550416578325,adult,medium,0.14400000000000004,0.0036
